Item Name,Category,Version,Version_clean,return_probability,risk_category,Final_Revenue_Abs,is_return,Date
WHX,Product P,38 / C / FtO,38,0.9999999995927293,High,237.5,1,2019-01-02
KNB,Product P,40 / B / FtO,40,0.9999999995788305,High,237.49,1,2019-04-08
AYN,Product H,33 / B / FtO,33,0.9999999991628692,High,222.49,1,2019-03-14
QID,Product H,33 / C / FtO,33,0.9999999991611148,High,222.5,1,2018-11-19
WHX,Product P,31 / B / FtO,31,0.9999999984879178,High,213.75,1,2019-01-04
NSP,Product P,33 / A / FtO,33,0.999999998383577,High,213.75,1,2019-02-22
WHX,Product A,36 / B / FtO,36,0.9999999972383766,High,204.59,1,2019-01-24
NMA,Product E,32 / A / FtO,32,0.9999999962181394,High,198.33,1,2018-12-04
EXR,Product J,32 / A / FtO,32,0.9999999960078769,High,198.33,1,2019-03-14
QMB,Product J,32 / A / FtO,32,0.9999999960078769,High,198.33,1,2019-01-10
QMB,Product J,32 / A / FtO,32,0.9999999960078769,High,198.33,1,2019-01-10
QMB,Product J,35 / A / FtO,35,0.9999999955783687,High,198.34,1,2019-01-04
QMB,Product J,35 / B / FtO,35,0.9999999955783687,High,198.34,1,2019-01-04
WHX,Product A,31 / A / FtO,31,0.9999999951993612,High,193.5,1,2019-04-12
WHX,Product A,33 / B / FtO,33,0.9999999791681051,High,172.01,1,2018-12-06
MAG,Product B,30 / A / FtO,30,0.9999999700184632,High,165.0,1,2019-01-04
LQS,Product B,32 / A / FtO,32,0.9999999679495969,High,165.0,1,2019-01-10
CLH,Product B,33 / A / FtO,33,0.9999999668622286,High,165.0,1,2018-11-30
CLH,Product B,34 / B / FtO,34,0.9999999657379693,High,165.0,1,2019-03-12
ZQV,Product W,32 / A / FtO,32,0.9999999602051284,High,165.0,1,2018-11-21
YMR,Product W,32 / A / FtO,32,0.9999999602051284,High,165.0,1,2018-11-21
ZQV,Product W,32 / A / FtO,32,0.9999999602051284,High,165.0,1,2018-11-26
WHX,Product P,32 / A / FtO,32,0.9999999424943196,High,158.33,1,2019-01-28
RJF,Product P,33 / B / FtO,33,0.9999999405433346,High,158.33,1,2019-02-14
WHX,Product P,33 / A / FtO,33,0.999999940418733,High,158.34,1,2019-01-28
WHX,Product P,34 / A / FtO,34,0.9999999385261589,High,158.33,1,2018-12-12
WHX,Product P,34 / B / FtO,34,0.9999999383973299,High,158.34,1,2019-03-05
WHX,Product P,35 / B / FtO,35,0.9999999364405467,High,158.33,1,2019-02-04
XEB,Product P,35 / B / FtO,35,0.9999999364405467,High,158.33,1,2019-01-29
KNB,Product P,37 / B / FtO,37,0.9999999320546475,High,158.33,1,2018-11-30
WHX,Product P,37 / B / FtO,37,0.9999999320546475,High,158.33,1,2019-02-20
WHX,Product P,40 / C / FtO,40,0.9999999273661007,High,158.33,1,2018-12-19
WHX,Product P,28 / B / FtO,28,0.999999926870828,High,153.14,1,2019-04-24
YMR,Product W,35 / B / FtO,35,0.999999922706047,High,156.3,1,2018-12-19
OTH,Product D,30 / A / FtO,30,0.9999999092552865,High,148.34,1,2019-04-10
QID,Product H,30 / A / FtO,30,0.9999999052410903,High,148.34,1,2019-02-19
NMA,Product H,30 / A / FtO,30,0.9999999052410903,High,148.34,1,2019-03-18
WHX,Product D,32 / B / FtO,32,0.9999999031963458,High,148.33,1,2019-03-15
QID,Product H,31 / A / FtO,31,0.999999902231113,High,148.33,1,2019-02-19
NMA,Product D,33 / B / FtO,33,0.9999999001214184,High,148.32,1,2019-03-14
WHX,Product D,33 / B / FtO,33,0.9999998997023544,High,148.34,1,2019-03-15
QID,Product H,32 / A / FtO,32,0.9999998989141257,High,148.33,1,2019-04-25
YQX,Product H,32 / A / FtO,32,0.9999998989141257,High,148.33,1,2018-11-26
KNB,Product H,32 / A / FtO,32,0.9999998989141257,High,148.33,1,2018-11-22
YQX,Product H,32 / B / FtO,32,0.9999998987022829,High,148.34,1,2019-01-09
WHX,Product D,34 / B / FtO,34,0.9999998962995741,High,148.34,1,2019-03-12
NMA,Product D,34 / B / FtO,34,0.9999998962995741,High,148.34,1,2019-03-12
YQX,Product H,33 / C / FtO,33,0.9999998954846032,High,148.33,1,2018-11-19
AYN,Product H,33 / A / FtO,33,0.9999998954846032,High,148.33,1,2019-04-24
